,evType,STATE,Reports,totalPropertyDamage,totalCropDamage,meanPropertyDamage,meanCropDamage,Injuries,meanInjuries,Fatalities,meanFatalities
1496,waterspout,WI,11,0,0,0,0,0,0,0,0
1497,wildfire,AK,25,15.19,0.01,0.6076,4e-04,9,360,0,0
1498,wildfire,AL,5,0.103,0,0.0206,0,0,0,0,0
1499,wildfire,AR,96,8.22,1.01,0.085625,0.0105208333333333,4,41.6666666666667,0,0
1500,wildfire,AZ,89,222.715,0,2.50241573033708,0,14,157.303370786517,0,0
1501,wildfire,CA,841,4409.78783,140.96,5.24350514863258,0.167609988109394,978,1162.90130796671,36,42.8061831153389
1502,wildfire,CO,275,305.88,0.025,1.11229090909091,9.09090909090909e-05,11,40,0,0
1503,wildfire,DE,11,0.005,0,0.000454545454545455,0,1,90.9090909090909,0,0
1504,wildfire,FL,278,410.639,0,1.47711870503597,0,105,377.697841726619,1,3.59712230215827
1505,wildfire,GA,82,27.77727,0,0.338747195121951,0,10,121.951219512195,0,0
1506,wildfire,GU,5,0.25,0,0.05,0,1,200,0,0
1507,wildfire,HI,150,1.2402,2.27163,0.008268,0.0151442,12,80,0,0
1508,wildfire,IA,4,1.1,0,0.275,0,2,500,0,0
1509,wildfire,ID,145,10.765,0.385,0.0742413793103448,0.0026551724137931,1,6.89655172413793,3,20.6896551724138
1510,wildfire,IL,10,2.125,0,0.2125,0,0,0,0,0
1511,wildfire,IN,2,0,0,0,0,0,0,0,0
1512,wildfire,KS,12,2.615,0.03,0.217916666666667,0.0025,4,333.333333333333,0,0
1513,wildfire,KY,12,0.025,0,0.00208333333333333,0,0,0,0,0
1514,wildfire,LA,13,1.276,2.315,0.0981538461538461,0.178076923076923,3,230.769230769231,0,0
1515,wildfire,MD,14,0,0,0,0,2,142.857142857143,0,0
1516,wildfire,MI,20,7.456,1,0.3728,0.05,4,200,0,0
1517,wildfire,MN,12,4.0275,0.003,0.335625,0.00025,2,166.666666666667,0,0
1518,wildfire,MO,47,2.112,0,0.044936170212766,0,5,106.382978723404,0,0
1519,wildfire,MS,1,0,0,0,0,0,0,0,0
1520,wildfire,MT,97,22.1555,1,0.228407216494845,0.0103092783505155,33,340.20618556701,0,0
1521,wildfire,NC,22,2.605,0,0.118409090909091,0,0,0,0,0
1522,wildfire,ND,16,0.6,0,0.0375,0,6,375,0,0
1523,wildfire,NE,4,2.5,5,0.625,1.25,0,0,0,0
1524,wildfire,NJ,93,1.26,0,0.0135483870967742,0,10,107.52688172043,0,0
1525,wildfire,NM,42,1548.582,0.015,36.871,0.000357142857142857,20,476.190476190476,0,0
1526,wildfire,NV,8,0.01,0,0.00125,0,0,0,0,0
1527,wildfire,NY,4,0.102,0,0.0255,0,0,0,0,0
1528,wildfire,OK,90,30.511,0.25,0.339011111111111,0.00277777777777778,29,322.222222222222,5,55.5555555555556
1529,wildfire,OR,339,16.939,0.5304,0.0499675516224189,0.0015646017699115,7,20.6489675516224,0,0
1530,wildfire,PA,45,1.405,0,0.0312222222222222,0,0,0,0,0
1531,wildfire,PR,15,6.6,1.165,0.44,0.0776666666666667,0,0,0,0
1532,wildfire,SC,13,43.575,0,3.35192307692308,0,0,0,0,0
1533,wildfire,SD,54,0.055,0,0.00101851851851852,0,1,18.5185185185185,1,18.5185185185185
1534,wildfire,TN,1,0.1,0,0.1,0,0,0,0,0
1535,wildfire,TX,776,605.5127,161.7964,0.780299871134021,0.208500515463918,146,188.144329896907,24,30.9278350515464
